#	mutation	transfection	pair	slice	hemi	animal	id	peaknmda	decaynmda	chargenmda	dt50nmda	fwhmnmda	peakampa	decayampa	chargeampa	riseampa	dt50ampa	fwhmampa
1	2A_C436R	+	1	9	2	5	29-01-18 s0 p0	23.125	121.639	4.45951	55.8192	62.8709	8.7882	3.49674	0.21241	0.736735	2.99562	4.0455
2	2A_C436R	-	1	9	2	5	29-01-18 s0 p0	51.395	46.7036	3.77103	31.3014	38.3624	15.99832	3.29629	0.476979	0.720634	2.70162	3.66091
3	2A_C436R	+	2	9	2	5	29-01-18 s0 p1	32.4516	164.813	3.55955	57.3068	67.0074	10.2238	3.28792	0.258189	1.02761	1.34904	2.62535
4	2A_C436R	-	2	9	2	5	29-01-18 s0 p1	123.8988	67.383	14.145	39.1418	44.5678	16.5927	5.01429	0.414149	0.926916	2.67872	3.93021
5	2A_C436R	+	3	10	2	6	20-03-18 s0 p0	61.3232	162.521	10.7813	73.2239	84.4032	30.5032	3.05876	0.812384	0.755455	2.54317	3.47727
6	2A_C436R	-	3	10	2	6	20-03-18 s0 p0	81.3156	120.127	10.5931	43.4346	49.5883	22.9682	5.55889	1.18536	2.02259	3.35513	5.99181
7	2A_C436R	+	4	10	2	6	20-03-18 s0 p2	252.656	125.629	43.5714	82.7346	93.3514	43.6648	4.17075	1.53174	1.39034	3.45535	4.69407
8	2A_C436R	-	4	10	2	6	20-03-18 s0 p2	335.124	122.14	52.2383	59.4668	66.2069	79.9626	4.27079	2.95947	1.41117	2.76277	4.03186
9	2A_C436R	+	5	11	2	6	20-03-18 s1 p0	45.6334	143.278	14.0858	92.0651	99.6868	22.2812	4.7477	0.612463	1.92027	3.66675	4.57093
10	2A_C436R	-	5	11	2	6	20-03-18 s1 p0	84.795	75.0713	10.6034	35.4841	41.7566	29.31	3.77843	1.05984	1.24099	2.71797	4.28511
11	2A_C436R	+	6	12	2	6	21-03-18 s0 p2	56.5464	212.599	9.27109	85.8914	99.1518	13.30478	6.07897	0.720963	1.57582	3.27023	6.06461
