#	genotype	transfection	pair	slice	animal	id	peak	decay	charge	rise	dt50	fwhm
1	WT	+	1	1	0	02/02/17 slice 0 pair 0	37.3492	95.4819	4.86773	3.68145	42.6644	49.5285
2	WT	-	1	1	0	02/02/17 slice 0 pair 0	27.9538	125.573	4.30869	3.55136	44.9682	50.1106
3	WT	+	2	2	0	02/02/17 slice 1 pair 2	76.0198	111.846	9.86094	2.77733	36.4603	42.1538
4	WT	-	2	2	0	02/02/17 slice 1 pair 2	43.9574	98.3031	4.90581	3.19508	43.9997	51.6763
5	WT	+	3	2	0	02/02/17 slice 1 pair 3	69.2988	70.4466	7.87832	2.70676	35.3369	39.8693
6	WT	-	3	2	0	02/02/17 slice 1 pair 3	96.7936	87.6066	10.5385	2.88238	37.3228	43.2872
7	WT	+	4	2	0	02/02/17 slice 1 pair 1	69.2388	63.1143	4.97363	2.97039	29.8436	34.2797
8	WT	-	4	2	0	02/02/17 slice 1 pair 1	47.637	121.697	5.45419	3.15162	33.6838	39.178
9	WT	+	5	3	0	02/02/17 slice 2 pair 2	81.335	64.6395	5.99089	3.07985	31.5301	36.3213
10	WT	-	5	3	0	02/02/17 slice 2 pair 2	62.9422	72.4847	5.40535	3.15115	38.737	44.6022
11	WT	+	6	3	0	02/02/17 slice 2 pair 3	48.8288	96.444	3.80709	3.90118	36.9196	43.9875
12	WT	-	6	3	0	02/02/17 slice 2 pair 3	39.8076	82.1095	3.76376	3.70176	41.0101	48.1567
13	WT	+	7	3	0	02/02/17 slice 2 pair 1	100.6388	81.148	8.45815	3.60067	37.172	42.6408
14	WT	-	7	3	0	02/02/17 slice 2 pair 1	55.9678	97.8743	6.64558	3.8259	46.2333	51.9774
15	WT	+	8	3	0	02/02/17 slice 2 pair 0	60.4444	79.4237	5.81533	3.25588	40.6237	46.6385
16	WT	-	8	3	0	02/02/17 slice 2 pair 0	71.2262	91.836	8.47137	3.81341	40.0253	46.4771
17	WT	+	9	5	0	03/02/17 slice 2 pair 3	132.2412	126.121	19.8879	3.88848	49.0079	55.4247
18	WT	-	9	5	0	03/02/17 slice 2 pair 3	86.047	92.1713	13.4636	4.17225	42.5426	49.4707
19	WT	+	10	5	0	03/02/17 slice 2 pair 1	66.81	142.419	14.0536	4.31835	55.6157	62.5803
